iter	Passed	Remaining
0	2	2242
1	4	2113
2	6	2141
3	8	2014
4	9	1966
5	12	2059
6	16	2286
7	17	2196
8	20	2231
9	22	2198
10	23	2142
11	25	2084
12	28	2187
13	30	2163
14	32	2125
15	34	2114
16	35	2081
17	37	2049
18	39	2014
19	40	1992
20	42	1990
21	44	1971
22	46	1955
23	47	1931
24	49	1926
25	51	1937
26	53	1923
27	54	1906
28	56	1903
29	58	1899
30	60	1888
31	61	1873
32	63	1863
33	65	1870
34	67	1857
35	69	1874
36	71	1871
37	73	1860
38	75	1862
39	81	1945
40	83	1963
41	88	2011
42	90	2017
43	97	2110
44	102	2170
45	103	2154
46	107	2189
47	110	2182
48	111	2170
49	114	2168
50	116	2159
51	117	2145
52	119	2131
53	121	2126
54	123	2120
55	125	2109
56	126	2094
57	128	2081
58	130	2078
59	132	2069
60	133	2059
61	136	2060
62	138	2054
63	140	2049
64	141	2038
65	144	2041
66	146	2034
67	147	2028
68	149	2018
69	151	2012
70	153	2012
71	155	2004
72	157	2000
73	159	1994
74	161	1986
75	162	1977
76	164	1970
77	166	1972
78	168	1967
79	170	1955
80	172	1951
81	174	1954
82	175	1940
83	177	1932
84	179	1929
85	181	1930
86	183	1922
87	184	1914
88	186	1911
89	189	1912
90	190	1905
91	192	1896
92	194	1897
93	196	1895
94	198	1888
95	199	1882
96	202	1883
97	204	1879
98	205	1873
99	207	1867
100	209	1866
101	211	1862
102	213	1855
103	214	1849
104	216	1848
105	218	1844
106	220	1837
107	221	1830
108	223	1828
109	225	1824
110	226	1817
111	228	1812
112	231	1819
113	233	1816
114	235	1810
115	237	1806
116	239	1805
117	241	1804
118	244	1809
119	247	1816
120	250	1818
121	251	1811
122	253	1809
123	255	1803
124	256	1796
125	258	1789
126	259	1784
127	261	1781
128	263	1778
129	265	1774
130	266	1769
131	269	1769
132	270	1765
133	272	1760
134	274	1756
135	276	1759
136	278	1755
137	280	1749
138	281	1745
139	284	1747
140	286	1748
141	288	1741
142	290	1742
143	292	1740
144	294	1735
145	295	1731
146	297	1728
147	299	1725
148	301	1722
149	303	1718
150	305	1716
151	306	1712
152	308	1707
153	309	1701
154	311	1698
155	313	1694
156	314	1689
157	315	1682
158	317	1676
159	318	1671
160	319	1666
161	321	1663
162	323	1659
163	324	1654
164	327	1655
165	328	1651
166	330	1647
167	331	1643
168	334	1642
169	335	1638
170	337	1635
171	339	1632
172	340	1627
173	342	1624
174	343	1620
175	344	1614
176	346	1609
177	347	1605
178	349	1602
179	351	1599
180	352	1595
181	353	1591
182	355	1586
183	357	1584
184	358	1580
185	360	1576
186	361	1572
187	363	1568
188	365	1566
189	366	1562
190	367	1558
191	369	1553
192	371	1552
193	373	1550
194	374	1546
195	375	1542
196	377	1538
197	379	1536
198	380	1532
199	382	1528
200	383	1524
201	384	1519
202	386	1517
203	387	1513
204	389	1508
205	390	1504
206	391	1499
207	393	1497
208	394	1494
209	396	1490
210	397	1486
211	398	1482
212	400	1479
213	401	1476
214	403	1472
215	404	1468
216	405	1464
217	407	1462
218	409	1459
219	410	1455
220	412	1452
221	413	1448
222	415	1446
223	416	1443
224	418	1440
225	419	1437
226	420	1433
227	422	1430
228	424	1428
229	425	1425
230	427	1421
231	428	1417
232	430	1415
233	431	1413
234	433	1409
235	434	1407
236	435	1403
237	438	1402
238	439	1398
239	440	1394
240	441	1391
241	442	1387
242	444	1384
243	445	1381
244	447	1377
245	448	1374
246	449	1370
247	451	1367
248	452	1366
249	454	1362
250	455	1359
251	456	1355
252	457	1351
253	459	1349
254	460	1346
255	462	1342
256	463	1339
257	464	1336
258	466	1333
259	467	1331
260	469	1328
261	470	1324
262	471	1321
263	472	1318
264	474	1315
265	475	1313
266	477	1310
267	478	1307
268	480	1305
269	482	1303
270	483	1300
271	484	1297
272	486	1294
273	487	1291
274	488	1288
275	490	1285
276	491	1283
277	492	1280
278	494	1277
279	495	1274
280	497	1272
281	498	1269
282	499	1266
283	500	1263
284	502	1259
285	503	1257
286	505	1255
287	506	1252
288	507	1249
289	509	1247
290	510	1244
291	512	1242
292	513	1239
293	515	1236
294	516	1233
295	517	1230
296	518	1227
297	520	1225
298	521	1222
299	522	1219
300	523	1216
301	525	1213
302	526	1211
303	528	1209
304	529	1206
305	530	1203
306	531	1200
307	533	1197
308	534	1196
309	536	1194
310	538	1192
311	539	1189
312	540	1187
313	542	1185
314	543	1182
315	545	1180
316	546	1177
317	547	1174
318	549	1172
319	550	1170
320	551	1167
321	552	1164
322	554	1161
323	555	1158
324	557	1156
325	558	1154
326	559	1152
327	561	1149
328	562	1146
329	563	1144
330	565	1142
331	566	1139
332	567	1136
333	568	1133
334	569	1131
